params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_6795,5,0.75,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6796,5,0.75,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_7187,5,1.0,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_7188,5,1.0,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_7191,5,1.0,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_7192,5,1.0,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_7195,5,1.0,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_7196,5,1.0,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0385,2,0.5,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_0389,2,0.5,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_0393,2,0.5,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_0785,2,0.75,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_0789,2,0.75,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_0793,2,0.75,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_1185,2,1.0,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_1189,2,1.0,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_1193,2,1.0,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_2385,3,0.5,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_2389,3,0.5,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_2393,3,0.5,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_2785,3,0.75,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_2789,3,0.75,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
